Date,Adj Close,Close,High,Low,Open,Volume
30/03/2016,768.3400269,768.3400269,777.3099976,767.5800171,768.210022,2019800
31/03/2016,762.9000244,762.9000244,769.0800171,758.25,768.3400269,1627700
01/04/2016,769.6699829,769.6699829,770.039978,755.2000122,757.1599731,1583700
04/04/2016,765.1199951,765.1199951,772.4400024,761.789978,769.5100098,1346200
05/04/2016,758.5700073,758.5700073,762.8699951,755.5999756,758.1300049,1223900
06/04/2016,768.0700073,768.0700073,768.4199829,756.2999878,757.8400269,1265600
07/04/2016,760.1199951,760.1199951,769.3599854,757.5,765.3200073,1274900
08/04/2016,759.4699707,759.4699707,767.1300049,755.7700195,765.8699951,1171700
11/04/2016,757.539978,757.539978,767.2199707,757.3400269,765.4500122,1588700
12/04/2016,764.3200073,764.3200073,764.9199829,751.5700073,758.4299927,1369400
13/04/2016,771.9099731,771.9099731,775.75,764.5900269,770.3099976,1771300
14/04/2016,775.3900146,775.3900146,779.6099854,773.2199707,775.3599854,1349600
15/04/2016,780,780,780.9299927,774.9299927,775.5,1585600
18/04/2016,787.6799927,787.6799927,788.5499878,777.6099854,780.1900024,1677000
19/04/2016,776.25,776.25,790.9500122,770.2700195,790.5,2197600
20/04/2016,774.9199829,774.9199829,779.6599731,771.2700195,779.1599731,1713100
21/04/2016,780,780,781.6799927,771.5499878,777.3099976,3881400
22/04/2016,737.7700195,737.7700195,753.9199829,730.3699951,743.9099731,7039900
25/04/2016,742.210022,742.210022,744.8800049,735.0999756,735.3499756,2472100
26/04/2016,725.3699951,725.3699951,745.5900269,720.3200073,744.4199829,2793200
27/04/2016,721.460022,721.460022,727.1500244,709.0800171,725.3200073,3313100
28/04/2016,705.0599976,705.0599976,729.2600098,703.2000122,723.289978,3129500
29/04/2016,707.8800049,707.8800049,712.1099854,703.7800293,704.1199951,2913900
02/05/2016,714.4099731,714.4099731,715.4099731,706.3599854,711.9199829,1673800
03/05/2016,708.4400024,708.4400024,713.3699951,707.3300171,712.5,1931000
04/05/2016,711.3699951,711.3699951,715.0499878,704.0499878,706.7700195,1708600
05/05/2016,714.710022,714.710022,717.5499878,709.4500122,715,1483400
06/05/2016,725.1799927,725.1799927,725.9899902,711.9500122,712.2000122,1997600
09/05/2016,729.1300049,729.1300049,734.289978,723.5,726.7000122,1903700
10/05/2016,739.3800049,739.3800049,740,731.6099854,734.960022,1631700
11/05/2016,730.5499878,730.5499878,740.7999878,727.9000244,740.5200195,1491700
12/05/2016,728.0700073,728.0700073,735.3699951,724.2700195,732,1354700
13/05/2016,724.8300171,724.8300171,731.289978,723.5100098,726.6199951,1262200
16/05/2016,730.2999878,730.2999878,732.6799927,720,724.3200073,1126900
17/05/2016,720.1900024,720.1900024,735.8499756,718,731.0599976,1670200
18/05/2016,721.7800293,721.7800293,725.5700073,715.0200195,718.5,1626800
19/05/2016,715.3099976,715.3099976,720.5,710.3099976,718.2999878,1529900
20/05/2016,721.710022,721.710022,727.7000122,715.0100098,716.460022,1739900
23/05/2016,717.25,717.25,723.5,716.9400024,719.9799805,1240800
24/05/2016,733.0300293,733.0300293,734.2000122,719.6500244,719.8499756,1894200
25/05/2016,738.0999756,738.0999756,739.8900146,732.5999756,735,1610800
26/05/2016,736.9299927,736.9299927,741.0999756,733,736,1360100
27/05/2016,747.5999756,747.5999756,747.9099731,737.0100098,737.5100098,1740100
31/05/2016,748.8499756,748.8499756,753.4799805,745.5700073,748.7600098,2124200
01/06/2016,748.460022,748.460022,751.3699951,744.3400269,748.4699707,1039400
